spygen_code;pool;replicates;date
SPY181822;no;SPY180630/SPY180635/SPY181822/SPY181823;2018-06-21
SPY181823;no;SPY180630/SPY180635/SPY181822/SPY181823;2018-06-21
SPY181824;no;SPY181699/SPY181824/SPY181828/SPY192310;2020-05-28
SPY181825;no;SPY181809/SPY181815/SPY181821/SPY181825;2018-06-15
SPY181826;no;SPY181808/SPY181813/SPY181816/SPY181826;2018-06-15
SPY181827;no;SPY181817/SPY181827/SPY182545/SPY182546;2019-07-11
SPY181828;no;SPY181699/SPY181824/SPY181828/SPY192310;2020-05-28
SPY181829;no;SPY181810/SPY181814/SPY181829/SPY181830;2018-06-21
SPY181830;no;SPY181810/SPY181814/SPY181829/SPY181830;2018-06-21
SPY181884;no;SPY180765/SPY180785/SPY181511/SPY181884/SPY181890/SPY181893/SPY181894/SPY181910;2019-03-20
SPY181890;no;SPY180785/SPY181511/SPY181890/SPY181893;2019-03-20
SPY181893;no;SPY180785/SPY181511/SPY181890/SPY181893;2019-03-20
SPY181894;no;SPY180765/SPY180785/SPY181511/SPY181884/SPY181890/SPY181893/SPY181894/SPY181910;2019-03-20
SPY181910;no;SPY180765/SPY180785/SPY181511/SPY181884/SPY181890/SPY181893/SPY181894/SPY181910;2019-03-20
SPY181975;no;SPY181975/SPY182168/SPY182540/SPY182542;2019-07-11
SPY182040;no;SPY182040/SPY182541/SPY192288;2019-07-14
SPY182155;no;SPY182155/SPY182160/SPY182543/SPY182544;2019-07-11
SPY182160;no;SPY182155/SPY182160/SPY182543/SPY182544;2019-07-11
SPY182168;no;SPY181975/SPY182168/SPY182540/SPY182542;2019-07-11
SPY182540;no;SPY181975/SPY182168/SPY182540/SPY182542;2019-07-11
SPY182541;no;SPY182040/SPY182541/SPY192288;2019-07-14
SPY182542;no;SPY181975/SPY182168/SPY182540/SPY182542;2019-07-11
SPY182543;no;SPY182155/SPY182160/SPY182543/SPY182544;2019-07-11
SPY182544;no;SPY182155/SPY182160/SPY182543/SPY182544;2019-07-11
SPY182545;no;SPY181817/SPY181827/SPY182545/SPY182546;2019-07-11
SPY182546;no;SPY181817/SPY181827/SPY182545/SPY182546;2019-07-11
SPY190558;no;SPY190558/SPY190607/SPY192291;2019-07-08
SPY190596;no;SPY190596/SPY192299/SPY192319;2019-07-08
SPY190597;no;SPY180629/SPY181145/SPY190597/SPY192300;2020-05-28
SPY190607;no;SPY190558/SPY190607/SPY192291;2019-07-08
SPY190608;no;SPY190608/SPY192290;2019-07-07
SPY192279;no;SPY192279/SPY192306/SPY192316/SPY192323;2019-07-01
SPY192280;no;SPY192280/SPY192289/SPY192305;2019-07-01
SPY192281;no;SPY192281/SPY192286/SPY192315;2019-07-03
SPY192282;no;SPY192282/SPY192287/SPY192294;2019-07-19
SPY192283;no;SPY192283/SPY192295/SPY192311;2019-07-19
SPY192284;no;SPY192284/SPY192285/SPY192308/SPY192320;2019-07-01
SPY192285;no;SPY192284/SPY192285/SPY192308/SPY192320;2019-07-01
SPY192286;no;SPY192281/SPY192286/SPY192315;2019-07-03
SPY192287;no;SPY192282/SPY192287/SPY192294;2019-07-19
SPY192288;no;SPY182040/SPY182541/SPY192288;2019-07-14
SPY192289;no;SPY192280/SPY192289/SPY192305;2019-07-01
SPY192290;no;SPY190608/SPY192290;2019-07-07
SPY192291;no;SPY190558/SPY190607/SPY192291;2019-07-08
SPY192294;no;SPY192282/SPY192287/SPY192294;2019-07-19
SPY192295;no;SPY192283/SPY192295/SPY192311;2019-07-19
SPY192297;no;SPY192297/SPY220314;2022-06-20
SPY192299;no;SPY190596/SPY192299/SPY192319;2019-07-08
SPY192300;no;SPY180629/SPY181145/SPY190597/SPY192300;2020-05-28
SPY192304;no;SPY192304/SPY192313/SPY192322;2019-07-03
SPY192305;no;SPY192280/SPY192289/SPY192305;2019-07-01
SPY192306;no;SPY192279/SPY192306/SPY192316/SPY192323;2019-07-01
SPY192308;no;SPY192284/SPY192285/SPY192308/SPY192320;2019-07-01
SPY192309;no;SPY192309/SPY192314;2019-07-01
SPY192310;no;SPY181699/SPY181824/SPY181828/SPY192310;2020-05-28
SPY192311;no;SPY192283/SPY192295/SPY192311;2019-07-19
SPY192312;no;no;2019-07-01
SPY192313;no;SPY192304/SPY192313/SPY192322;2019-07-03
SPY192314;no;SPY192309/SPY192314;2019-07-01
SPY192315;no;SPY192281/SPY192286/SPY192315;2019-07-03
SPY192316;no;SPY192279/SPY192306/SPY192316/SPY192323;2019-07-01
SPY192319;no;SPY190596/SPY192299/SPY192319;2019-07-08
SPY192320;no;SPY192284/SPY192285/SPY192308/SPY192320;2019-07-01
SPY192321;no;no;2019-07-06
