"spygen_code","pool","replicates","date","country","region","site","subsite","subsite_andromede","component","habitat","protection","mpa_name","mpa_dist","latitude_start_DD","longitude_start_DD","latitude_end_DD","longitude_end_DD","depth_seafloor","depth_sampling","method","time_start","duration","filter","estimated_volume","flow_sensor_volume","project","lockdown","BiodivMed2023","Tele01","Pleo","Mamm01","Vert01","X16s_Metazoa","Bact02","Euka02","comments","Latitude_waypoint_start","Longitude_waypoint_start","Latitude_waypoint_end","Longitude_waypoint_end","Elevation","Time","Latitude","Longitude","extensions","Segment ID","distance_start","distance_end"
"SPY233372","no","SPY233370/SPY233372",2023-08-24,"France","Corse","a_definir_grace_a_sous_site","pino",NA,"coastal",NA,NA,NA,NA,42.914253,9.344907,42.901534,9.324753,"15",1,"surface_transect","9:21","30",0.2,30,NA,"ActNow",0,1,1,1,0,0,0,0,0,NA,42.914253,9.344907,42.901534,9.324763,-4.21,2023-08-24 06:28:24,42.5399892032,3.0594446138,NA,1,516339.302399138,514636.289420472
"SPY2401062","no","SPY2401062/SPY2401109",2024-05-13,"France","Occitanie","vendres","etang_vendres",NA,"lagoon","lagoon",NA,NA,NA,43.259406,3.222539,43.251997,3.225002,NA,1,"surface_transect","11:53","30",0.2,NA,15.52,"BiodivMed_Occitanie",0,0,1,1,0,0,0,0,0,"Deux filtres réalisés en simultanée. La première pompe a lâché (pb de batterie). reprise de la filtration de SPY2401062 à la fin de la filtration de SPY2401109",43.259406,3.222539,43.251997,3.225002,59.98,2024-05-13 18:48:04,42.5646497682,8.7441020552,NA,1,457344.094893217,457034.546464063
"SPY2401065","no","SPY2401065/SPY2401066",2024-05-15,"France","Occitanie","agde","grau",NA,"coastal","lagoon",NA,NA,NA,43.29571,3.450451,43.282794,3.444309,"6",1,"surface_transect","12:31","30",0.2,NA,29,"BiodivMed_Occitanie",0,0,1,1,0,0,0,0,0,NA,43.29571,3.450451,43.282794,3.444309,29.75,2024-05-15 08:13:15,42.5804245938,8.72409923,NA,1,437643.76250552,437923.217197287
"SPY2401066","no","SPY2401065/SPY2401066",2024-05-15,"France","Occitanie","agde","grau",NA,"coastal","lagoon",NA,NA,NA,43.29571,3.450451,43.282794,3.444309,"6",1,"surface_transect","11:54","30",0.2,NA,29,"BiodivMed_Occitanie",0,0,1,1,0,0,0,0,0,"Deux filtres réalisés en simultanée. La première pompe a lâché (pb de batterie). reprise de la filtration de SPY2401066 à la fin de la filtration de SPY2401065 (arrêt de la pompe à 12min20. point d’arrivée identique)",43.29571,3.450451,43.282794,3.444309,29.75,2024-05-15 08:13:15,42.5804245938,8.72409923,NA,1,437643.76250552,437923.217197287
"SPY2401106","no","SPY232178/SPY2401106",2024-05-16,"France","Occitanie","leucate","nord_ile_aux_oiseaux",NA,"lagoon","lagoon",NA,NA,NA,42.860777,3.02224,42.862658,3.028826,"1.8",1,"surface_transect","9:45","30",0.2,NA,23.45,"BiodivMed_Occitanie",0,0,1,1,0,0,0,0,0,"7 min statique au début problème moteur",42.860777,3.02224,42.862658,3.028826,6.8,2024-05-16 12:58:46,42.5804444589,8.7240657024,NA,1,467980.246471442,467449.210203237
"SPY2401107","no","SPY232186/SPY2401107",2024-05-16,"France","Occitanie","gruissan","gruissan",NA,"lagoon","lagoon",NA,NA,NA,43.116304,3.084828,43.116608,3.085688,"1.1",1,"surface_transect","15:42","30",0.2,NA,30.69,"BiodivMed_Occitanie",0,0,1,1,0,0,0,0,0,NA,43.116304,3.084828,43.116608,3.085688,6.8,2024-05-16 12:58:46,42.5804444589,8.7240657024,NA,1,464694.492151105,464628.01441367
"SPY2401109","no","SPY2401062/SPY2401109",2024-05-13,"France","Occitanie","vendres","etang_vendres",NA,"lagoon","lagoon",NA,NA,NA,43.257351,3.222497,43.251997,3.225002,NA,1,"surface_transect","11:53","30",0.2,NA,15.52,"BiodivMed_Occitanie",0,0,1,1,0,0,0,0,0,NA,43.257351,3.222497,43.251997,3.225002,59.98,2024-05-13 18:48:04,42.5646497682,8.7441020552,NA,1,457316.443177589,457034.546464063
"SPY2401111","no","SPY232187/SPY2401111",2024-05-16,"France","Occitanie","la_palme","la_palme",NA,"lagoon","lagoon",NA,NA,NA,42.967127,3.001126,42.967552,3.000185,"1.3",1,"surface_transect","12:53","30",0.2,NA,7.36,"BiodivMed_Occitanie",0,0,1,1,0,0,0,0,0,NA,42.967127,3.001126,42.967552,3.000185,6.8,2024-05-16 12:58:46,42.5804444589,8.7240657024,NA,1,470235.41321175,470314.76997658
"SPY2402605","no","SPY2402605/SPY2402611",2024-06-27,"France","PACA","menton",NA,NA,"coastal",NA,NA,NA,NA,43.778527,7.533782,43.767787,7.507697,"27",1,"surface_transect","14:49","30",0.2,30,NA,"Oceanoscientific",0,0,1,1,0,0,0,0,0,"Déchets plastique et bois à la surface de l'eau tout au long du Site. 14:53 : Petit bateau à moteur coupe notre trajectoire à 50 mètres à l'avant. 15:00 : espèce non identifiée (poisson ou jeune requin) à la surface dans un plastique. 15:18 : banc de poissons (espèce non identifée) qui sautent à tribord à 6 mètres",43.778527,7.533782,43.767787,7.507697,19.48,2024-06-27 16:05:44,42.4803061131,3.1348252483,NA,1,385841.830657389,383457.381648248
"SPY2402611","no","SPY2402605/SPY2402611",2024-06-27,"France","PACA","menton",NA,NA,"coastal",NA,NA,NA,NA,43.768367,7.508917,43.778642,7.534212,"26",1,"surface_transect","13:56","30",0.2,30,NA,"Oceanoscientific",0,0,1,1,0,0,0,0,0,"Déchets plastique et bois à la surface de l'eau tout au long du Site. 13:58 : Catamaran LOVE THE OCEAN au moteur à 10 mètres. 14:06 : Catamaran LOVE THE OCEAN au moteur coupe notre trajectoire",43.768367,7.508917,43.778642,7.534212,19.48,2024-06-27 16:05:44,42.4803061131,3.1348252483,NA,1,383571.912717508,385878.730024347
