"spygen_code","pool","replicates","date","country","region","site","subsite","subsite_andromede","component","habitat","protection","mpa_name","mpa_dist","latitude_start_DD","longitude_start_DD","latitude_end_DD","longitude_end_DD","depth_seafloor","depth_sampling","method","time_start","duration","filter","estimated_volume","flow_sensor_volume","project","lockdown","BiodivMed2023","Tele01","Pleo","Mamm01","Vert01","X16s_Metazoa","Bact02","Euka02","comments","Elevation_waypoint_start","Time_waypoint_start","Latitude_waypoint_start","Longitude_waypoint_start","Name_waypoint_start","distance_start","Elevation_waypoint_end","Time_waypoint_end","Latitude_waypoint_end","Longitude_waypoint_end","Name_waypoint_end","distance_end"
"SPY200471","no","SPY200471/SPY200473/SPY200478/SPY200486",2020-05-27,"France","PACA","carry_le_rouet","parc_marin_cote_bleue",NA,"coastal",NA,NA,NA,NA,43.3271,5.170136,43.326002,5.156124,"5",1,"surface_transect","12:32","31",0.2,30,NA,"eRef",1,0,1,0,0,0,0,0,0,NA,-2.17746,2020-05-27 10:32:41,43.3271,5.170136,"171",0,-2.065424,2020-05-27 11:03:03,43.326002,5.156124,"173",0
"SPY200472","no","SPY200462/SPY200472/SPY200476/SPY201154",2020-07-16,"France","Occitanie","banyuls","rederis",NA,"coastal",NA,NA,NA,NA,42.46131,3.161523,42.46332,3.160805,"8.5",1,"surface_transect","14:12","30",0.2,30,NA,"eRef",0,0,1,0,0,0,0,0,0,NA,-3.746571,2020-07-16 12:12:13,42.461306,3.161523,"183",0.444328996434904,-0.989749,2020-07-16 12:42:04,42.46332,3.160805,"185",0
"SPY200473","no","SPY200471/SPY200473/SPY200478/SPY200486",2020-05-27,"France","PACA","carry_le_rouet","parc_marin_cote_bleue",NA,"coastal",NA,NA,NA,NA,43.327682,5.168671,43.326753,5.157538,"5",1,"surface_transect","11:45","30",0.2,30,NA,"eRef",1,0,1,0,0,0,0,0,0,NA,-1.738179,2020-05-27 09:45:35,43.327682,5.168671,"168",0,-1.97966,2020-05-27 10:15:55,43.326753,5.157538,"170",0
"SPY200474","no","SPY200456/SPY200465/SPY200468/SPY200474",2020-05-20,"France","Occitanie","banyuls","rederis",NA,"coastal",NA,NA,NA,NA,42.46205,3.160999,42.46198,3.161489,"8",1,"surface_transect","15:07","29",0.2,30,NA,"eRef",1,0,1,0,1,1,0,1,1,NA,2.024671,2020-05-20 13:07:08,42.462051,3.160999,"156",0.111082263375883,1.189092,2020-05-20 13:36:55,42.461984,3.161489,"158",0.4443290496099
"SPY200476","no","SPY200462/SPY200472/SPY200476/SPY201154",2020-07-16,"France","Occitanie","banyuls","rederis",NA,"coastal",NA,NA,NA,NA,42.46131,3.161523,42.46332,3.160805,"8.5",1,"surface_transect","14:12","30",0.2,30,NA,"eRef",0,0,1,0,0,0,0,0,0,NA,-3.746571,2020-07-16 12:12:13,42.461306,3.161523,"183",0.444328996434904,-0.989749,2020-07-16 12:42:04,42.46332,3.160805,"185",0
"SPY200477","no","SPY200466/SPY200467/SPY200477/SPY200483",2020-05-27,"France","PACA","carry_le_rouet","erevine",NA,"coastal",NA,NA,NA,NA,43.332473,5.243809,43.328706,5.227349,"12",1,"surface_transect","9:58","30",0.2,30,NA,"eRef",1,0,1,0,0,0,0,0,0,NA,-3.631291,2020-05-27 07:58:07,43.332473,5.243809,"164",0,-2.870691,2020-05-27 08:28:11,43.328706,5.227349,"165",0
"SPY200478","no","SPY200471/SPY200473/SPY200478/SPY200486",2020-05-27,"France","PACA","carry_le_rouet","parc_marin_cote_bleue",NA,"coastal",NA,NA,NA,NA,43.327682,5.168671,43.326753,5.157538,"5",1,"surface_transect","11:45","30",0.2,30,NA,"eRef",1,0,1,0,0,0,0,0,0,NA,-1.738179,2020-05-27 09:45:35,43.327682,5.168671,"168",0,-1.97966,2020-05-27 10:15:55,43.326753,5.157538,"170",0
"SPY200483","no","SPY200466/SPY200467/SPY200477/SPY200483",2020-05-27,"France","PACA","carry_le_rouet","erevine",NA,"coastal",NA,NA,NA,NA,43.33248,5.243678,43.328725,5.228423,"12",1,"surface_transect","10:46","30",0.2,30,NA,"eRef",1,0,1,0,0,0,0,0,0,NA,-1.584682,2020-05-27 08:46:21,43.33248,5.243678,"166",0,-3.585202,2020-05-27 09:16:38,43.328725,5.228423,"167",0
"SPY200484","no","SPY200455/SPY200460/SPY200470/SPY200484",2020-05-20,"Spain",NA,"punta_de_locell",NA,NA,"coastal",NA,NA,NA,NA,42.43477,3.175341,42.43387,3.175246,"11.5",1,"surface_transect","11:23","30",0.2,30,NA,"eRef",1,0,1,0,0,0,0,0,0,NA,-2.364508,2020-05-20 10:23:07,42.434767,3.175341,"150",0.333245197492165,-4.169872,2020-05-20 10:53:17,42.433867,3.175246,"152",0.333245145706864
"SPY200486","no","SPY200471/SPY200473/SPY200478/SPY200486",2020-05-27,"France","PACA","carry_le_rouet","parc_marin_cote_bleue",NA,"coastal",NA,NA,NA,NA,43.3271,5.170136,43.326002,5.156124,"5",1,"surface_transect","12:32","31",0.2,30,NA,"eRef",1,0,1,0,0,0,0,0,0,NA,-2.17746,2020-05-27 10:32:41,43.3271,5.170136,"171",0,-2.065424,2020-05-27 11:03:03,43.326002,5.156124,"173",0
