"spygen_code","pool","replicates","date","country","region","site","subsite","subsite_andromede","component","habitat","protection","mpa_name","mpa_dist","latitude_start_DD","longitude_start_DD","latitude_end_DD","longitude_end_DD","depth_seafloor","depth_sampling","method","time_start","duration","filter","estimated_volume","flow_sensor_volume","project","lockdown","BiodivMed2023","Tele01","Pleo","Mamm01","Vert01","X16s_Metazoa","Bact02","Euka02","comments","Elevation_waypoint_start","Time_waypoint_start","Latitude_waypoint_start","Longitude_waypoint_start","Name_waypoint_start","distance_start","Elevation_waypoint_end","Time_waypoint_end","Latitude_waypoint_end","Longitude_waypoint_end","Name_waypoint_end","distance_end"
"SPY201279","no","SPY201249/SPY201279",2020-05-26,"France","PACA","cassis","cap_canaille_pi",NA,"coastal","meadow",NA,NA,NA,43.20245,5.54325,NA,NA,NA,15,"dive_motionless","15:25","30",0.2,30,NA,"eRef",1,0,1,0,0,0,0,0,0,NA,52.325855,2020-05-26 10:47:46,43.17492,5.39804,"CAL1-1 start",12194.0573326466,NA,NA,NA,NA,NA,NA
"SPY201289","no","SPY201260/SPY201289",2020-05-26,"France","PACA","la_ciotat","rosier",NA,"coastal","coralligenous",NA,NA,NA,43.1542,5.62403333,NA,NA,NA,55,"dive_motionless","18:15","30",0.2,30,NA,"eRef",1,0,1,0,0,0,0,0,0,NA,52.325855,2020-05-26 10:47:46,43.17492,5.39804,"CAL1-1 start",18522.0514468637,NA,NA,NA,NA,NA,NA
"SPY201960","no","SPY201194/SPY201960",2020-07-20,"France","Corse","a_definir_grace_a_sous_site","atoll","atoll","offshore","coralligenous",NA,NA,NA,43.1719333,9.51398333,NA,NA,"115",115,"dive_transect","9:00","30",0.2,30,NA,"PISCIS",0,0,1,0,0,0,0,0,0,NA,1.566637,2020-07-20 13:37:45,41.632742,9.377198,"192",171345.447328197,NA,NA,NA,NA,NA,NA
"SPY211061","no","SPY211061/SPY211066",2022-06-14,"France","Occitanie","a_definir_grace_a_sous_site","roc_lan","roc_lan","coastal","coralligenous",NA,NA,NA,43.25118333,3.515666667,NA,NA,"22",22,"motionless_descended_from_surface","14:50","30",0.2,30,NA,"PISCIS",0,0,1,0,0,0,0,0,0,NA,-19.271013,2022-06-14 11:17:57,42.824563,3.057908,"276",60313.8395812622,NA,NA,NA,NA,NA,NA
"SPY211065","no","SPY211065/SPY220902",2022-06-14,"France","Occitanie","agde","grau_agde_est","grau_dagde_est","coastal","meadow",NA,NA,NA,43.27275,3.467933333,NA,NA,"15",15,"motionless_descended_from_surface","10:55","30",0.2,30,NA,"PISCIS",0,0,1,0,0,0,0,0,0,NA,-19.271013,2022-06-14 11:17:57,42.824563,3.057908,"276",59959.6068510675,NA,NA,NA,NA,NA,NA
"SPY211066","no","SPY211061/SPY211066",2022-06-14,"France","Occitanie","a_definir_grace_a_sous_site","roc_lan","roc_lan","coastal","coralligenous",NA,NA,NA,43.25118333,3.515666667,NA,NA,"22",22,"motionless_descended_from_surface","14:02","30",0.2,30,NA,"PISCIS",0,0,1,0,0,0,0,0,0,NA,-19.271013,2022-06-14 11:17:57,42.824563,3.057908,"276",60313.8395812622,NA,NA,NA,NA,NA,NA
"SPY212714","no","no",2021-07-22,"France","PACA","marseille",NA,NA,"coastal",NA,NA,NA,NA,43.16896,5.41018,NA,NA,NA,70,"glider","9:55","100",0.2,NA,NA,"ETH",0,0,1,0,0,0,0,0,1,NA,29.961262,2021-07-22 12:51:37,42.57848,8.71504,"LOLÀ1",277864.874075419,NA,NA,NA,NA,NA,NA
"SPY220902","no","SPY211065/SPY220902",2022-06-14,"France","Occitanie","agde","grau_agde_est","grau_dagde_est","coastal","meadow",NA,NA,NA,43.27275,3.467933333,NA,NA,"15",15,"motionless_descended_from_surface","12:10","30",0.2,30,NA,"PISCIS",0,0,1,0,0,0,0,0,0,NA,-19.271013,2022-06-14 11:17:57,42.824563,3.057908,"276",59959.6068510675,NA,NA,NA,NA,NA,NA
"SPY221345","no","SPY221345/SPY221366",2022-06-14,"France","Occitanie","a_definir_grace_a_sous_site","bob",NA,"offshore",NA,NA,NA,NA,42.8456,3.248716667,NA,NA,"75",10,"dive_motionless","11:30","30",0.2,30,NA,"CONNEXTER",0,0,1,0,0,0,0,0,0,NA,-19.271013,2022-06-14 11:17:57,42.824563,3.057908,"276",15774.3410303934,NA,NA,NA,NA,NA,NA
"SPY221366","no","SPY221345/SPY221366",2022-06-14,"France","Occitanie","a_definir_grace_a_sous_site","bob",NA,"offshore",NA,NA,NA,NA,42.8456,3.248716667,NA,NA,"75",10,"dive_motionless","11:30","30",0.2,30,NA,"CONNEXTER",0,0,1,0,0,0,0,0,0,NA,-19.271013,2022-06-14 11:17:57,42.824563,3.057908,"276",15774.3410303934,NA,NA,NA,NA,NA,NA
"SPY224257","no","SPY224257/SPY224262",2023-04-20,"France","Occitanie","frontignan","impasse_des_mouettes",NA,"coastal","rocks_sandy_bed",NA,NA,NA,43.4298712,3.7688588,NA,NA,"1",1,"surface_transect",NA,"30",0.2,30,NA,"VAMAHEAT",0,1,1,1,0,0,0,0,0,NA,NA,2023-04-20 10:24:40,43.5326982289553,4.13018027320504,"0",31384.6037658545,NA,NA,NA,NA,NA,NA
"SPY224262","no","SPY224257/SPY224262",2023-04-20,"France","Occitanie","frontignan","impasse_des_mouettes",NA,"coastal","rocks_sandy_bed",NA,NA,NA,43.4298712,3.7688588,NA,NA,"1",1,"surface_transect",NA,"30",0.2,30,NA,"VAMAHEAT",0,1,1,1,0,0,0,0,0,NA,NA,2023-04-20 10:24:40,43.5326982289553,4.13018027320504,"0",31384.6037658545,NA,NA,NA,NA,NA,NA
"SPY231903","no","SPY231903/SPY231904",2023-06-12,"France","Corse","a_definir_grace_a_sous_site","parata","parata","coastal","coralligenous",NA,NA,NA,41.90135,8.722366667,NA,NA,NA,55,"motionless_descended_from_surface","18:08","30",0.2,30,NA,"PISCIS",0,1,1,1,0,0,0,0,0,NA,-34.085018,2023-06-12 19:04:41,42.047718,9.851437,"0096",94982.5448537764,NA,NA,NA,NA,NA,NA
"SPY231904","no","SPY231903/SPY231904",2023-06-12,"France","Corse","a_definir_grace_a_sous_site","parata","parata","coastal","coralligenous",NA,NA,NA,41.90135,8.722366667,NA,NA,NA,55,"motionless_descended_from_surface","18:08","30",0.2,30,NA,"PISCIS",0,1,1,1,0,0,0,0,0,NA,-34.085018,2023-06-12 19:04:41,42.047718,9.851437,"0096",94982.5448537764,NA,NA,NA,NA,NA,NA
"SPY231905","no","SPY231905/SPY231906",2023-06-13,"France","Corse","a_definir_grace_a_sous_site","isolella_pi","isolella_pi","coastal","meadow",NA,NA,NA,41.83903333,8.755816667,NA,NA,"15",15,"motionless_descended_from_surface","15:25","30",0.2,30,NA,"PISCIS",0,1,1,1,0,0,0,0,0,NA,-27.50688,2023-06-13 04:58:39,42.769349,9.778766,"0102",133389.371157345,NA,NA,NA,NA,NA,NA
"SPY231906","no","SPY231905/SPY231906",2023-06-13,"France","Corse","a_definir_grace_a_sous_site","isolella_pi","isolella_pi","coastal","meadow",NA,NA,NA,41.83903333,8.755816667,NA,NA,"15",15,"motionless_descended_from_surface","15:25","30",0.2,30,NA,"PISCIS",0,1,1,1,0,0,0,0,0,NA,-27.50688,2023-06-13 04:58:39,42.769349,9.778766,"0102",133389.371157345,NA,NA,NA,NA,NA,NA
"SPY232202","no","SPY232202/SPY232217",2023-07-20,"France","Occitanie","frontignan","impasse_des_mouettes",NA,"coastal","rocks_sandy_bed",NA,NA,NA,43.4298712,3.7688588,NA,NA,"1",1,"surface_transect","10:30","30",0.2,30,NA,"VAMAHEAT",0,1,1,1,0,0,0,0,0,NA,-2.276649,2023-07-20 09:09:15,43.41021,-1.717866,"328",444258.353753433,NA,NA,NA,NA,NA,NA
"SPY232217","no","SPY232202/SPY232217",2023-07-20,"France","Occitanie","frontignan","impasse_des_mouettes",NA,"coastal","rocks_sandy_bed",NA,NA,NA,43.4298712,3.7688588,NA,NA,"1",1,"surface_transect","10:30","30",0.2,30,NA,"VAMAHEAT",0,1,1,1,0,0,0,0,0,NA,-2.276649,2023-07-20 09:09:15,43.41021,-1.717866,"328",444258.353753433,NA,NA,NA,NA,NA,NA
"SPY233364","no","SPY233364/SPY234003",2023-09-01,"Italy","Toscane","monte_cristo","monte_cristo",NA,"coastal",NA,NA,NA,NA,42.335754,10.291897,NA,NA,"60",60,"dive_motionless","19:11","40",0.2,40,NA,"ActNow",0,1,1,1,0,0,0,0,0,NA,-114.27298,2023-09-01 16:11:50,42.335676,10.288712,"0188",262.631080379562,NA,NA,NA,NA,NA,NA
"SPY233813","no","SPY233813/SPY233820",2023-08-26,"France","Corse","calvi","alga_40m",NA,"coastal","sandy_bed",NA,NA,NA,42.57079,8.73509,NA,NA,"38",38,"dive_transect","15:55","15",0.2,15,NA,"Arena",0,1,1,1,0,0,0,0,0,NA,-58.260838,2023-08-26 08:21:30,42.583538,8.722101,"0169",1772.70902768721,NA,NA,NA,NA,NA,NA
"SPY233814","no","SPY233814/SPY233822",2023-08-26,"France","Corse","calvi","oscellucia_12m",NA,"coastal","sandy_bed",NA,NA,NA,42.57544,8.72766,NA,NA,"12",12,"dive_transect","11:44","30",0.2,30,NA,"Arena",0,1,1,1,0,0,0,0,0,NA,-58.260838,2023-08-26 08:21:30,42.583538,8.722101,"0169",1008.7031734868,NA,NA,NA,NA,NA,NA
"SPY233820","no","SPY233813/SPY233820",2023-08-26,"France","Corse","calvi","alga_40m",NA,"coastal","sandy_bed",NA,NA,NA,42.57079,8.73509,NA,NA,"38",38,"dive_transect","14:50","15",0.2,15,NA,"Arena",0,1,1,1,0,0,0,0,0,NA,-58.260838,2023-08-26 08:21:30,42.583538,8.722101,"0169",1772.70902768721,NA,NA,NA,NA,NA,NA
"SPY233821","no","SPY233821/SPY233828",2023-08-26,"France","Corse","calvi","alga_12m",NA,"coastal","sandy_bed",NA,NA,NA,42.56473,8.7318,NA,NA,"8",8,"dive_transect","15:55","30",0.2,30,NA,"Arena",0,1,1,1,0,0,0,0,0,NA,-56.954544,2023-08-26 08:07:45,42.579286,8.714933,"0168",2128.9301435157,NA,NA,NA,NA,NA,NA
"SPY233822","no","SPY233814/SPY233822",2023-08-26,"France","Corse","calvi","oscellucia_12m",NA,"coastal","sandy_bed",NA,NA,NA,42.57544,8.72766,NA,NA,"12",12,"dive_transect","11:44","30",0.2,30,NA,"Arena",0,1,1,1,0,0,0,0,0,NA,-58.260838,2023-08-26 08:21:30,42.583538,8.722101,"0169",1008.7031734868,NA,NA,NA,NA,NA,NA
"SPY233828","no","SPY233821/SPY233828",2023-08-26,"France","Corse","calvi","alga_12m",NA,"coastal","sandy_bed",NA,NA,NA,42.56473,8.7318,NA,NA,"8",8,"dive_transect","14:50","30",0.2,30,NA,"Arena",0,1,1,1,0,0,0,0,0,NA,-56.954544,2023-08-26 08:07:45,42.579286,8.714933,"0168",2128.9301435157,NA,NA,NA,NA,NA,NA
"SPY233829","no","SPY233829/SPY233830",2023-08-26,"France","Corse","calvi","stareso_40m",NA,"coastal","sandy_bed",NA,NA,NA,42.58018,8.72848,NA,NA,"40",40,"dive_transect","10:40","15",0.2,15,NA,"Arena",0,1,1,1,0,0,0,0,0,NA,-56.180096,2023-08-26 07:40:32,42.585366,8.726229,"0167",604.99542423699,NA,NA,NA,NA,NA,NA
"SPY233830","no","SPY233829/SPY233830",2023-08-26,"France","Corse","calvi","stareso_40m",NA,"coastal","sandy_bed",NA,NA,NA,42.58018,8.72848,NA,NA,"40",40,"dive_transect","10:40","15",0.2,15,NA,"Arena",0,1,1,1,0,0,0,0,0,NA,-56.180096,2023-08-26 07:40:32,42.585366,8.726229,"0167",604.99542423699,NA,NA,NA,NA,NA,NA
